dataset,category,model,interpolation,pooling,K,window_size,detection,image_AUROC,pixel_AUPRO
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,13,True,0.8904937505722046,0.9416244029998779
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,15,True,0.9952380657196045,0.9494807720184326
mvtec_ad,cable,spalwinnn,bilinear,False,-1,15,True,0.7927286624908447,0.8697893023490906
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,15,True,0.9824491143226624,0.9447711110115051
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,15,True,0.9369983673095703,0.9356884360313416
mvtec_ad,grid,spalwinnn,bilinear,False,-1,15,True,0.8320802450180054,0.901935338973999
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,15,True,0.9964286088943481,0.9551735520362854
mvtec_ad,leather,spalwinnn,bilinear,False,-1,15,True,0.9932065606117249,0.976782500743866

mvtec_ad,bottle,spalwinnn,bilinear,True,-1,3,True,1.0,0.9411697387695312
mvtec_ad,cable,spalwinnn,bilinear,True,-1,3,True,0.9615816473960876,0.9192482233047485
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,3,True,0.9764658808708191,0.939543604850769
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,3,True,0.9823434948921204,0.9480385184288025
mvtec_ad,grid,spalwinnn,bilinear,True,-1,3,True,0.9782790541648865,0.8899616003036499
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,3,True,0.9953571557998657,0.9483054876327515
mvtec_ad,leather,spalwinnn,bilinear,True,-1,3,True,0.9986412525177002,0.9694840908050537
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,3,True,0.9960898756980896,0.9401252865791321
mvtec_ad,pill,spalwinnn,bilinear,True,-1,3,True,0.9247136116027832,0.9528973698616028
mvtec_ad,screw,spalwinnn,bilinear,True,-1,3,True,0.9842180609703064,0.9659935235977173
mvtec_ad,tile,spalwinnn,bilinear,True,-1,3,True,0.9949495792388916,0.8204742074012756
mvtec_ad,toothbrush,spalwinnn,bilinear,True,-1,3,True,0.947222113609314,0.9149606823921204
mvtec_ad,transistor,spalwinnn,bilinear,True,-1,3,True,0.9925000667572021,0.9506940841674805
mvtec_ad,wood,spalwinnn,bilinear,True,-1,3,True,0.9868420958518982,0.8780173659324646
mvtec_ad,zipper,spalwinnn,bilinear,True,-1,3,True,0.943802535533905,0.9411241412162781
visa,candle,spalwinnn,bilinear,True,-1,3,True,0.9251999855041504,0.9524563550949097
visa,capsules,spalwinnn,bilinear,True,-1,3,True,0.6798332929611206,0.6832558512687683
visa,cashew,spalwinnn,bilinear,True,-1,3,True,0.9638000726699829,0.8855357766151428
visa,chewinggum,spalwinnn,bilinear,True,-1,3,True,0.9945999383926392,0.7803299427032471
visa,fryum,spalwinnn,bilinear,True,-1,3,True,0.920799970626831,0.8355889916419983
visa,macaroni1,spalwinnn,bilinear,True,-1,3,True,0.9079999327659607,0.9179656505584717
visa,macaroni2,spalwinnn,bilinear,True,-1,3,True,0.7024999856948853,0.7903936505317688
visa,pcb1,spalwinnn,bilinear,True,-1,3,True,0.9182000160217285,0.8809725642204285
visa,pcb2,spalwinnn,bilinear,True,-1,3,True,0.9546999931335449,0.8861170411109924
visa,pcb3,spalwinnn,bilinear,True,-1,3,True,0.9522771835327148,0.8678251504898071
visa,pcb4,spalwinnn,bilinear,True,-1,3,True,0.9985148310661316,0.8675538301467896
visa,pipe_fryum,spalwinnn,bilinear,True,-1,3,True,0.989799976348877,0.9358774423599243
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,7,True,1.0,0.9411426782608032
mvtec_ad,cable,spalwinnn,bilinear,True,-1,7,True,0.9642053842544556,0.9236264228820801
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,7,True,0.9908256530761719,0.9406978487968445
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,7,True,0.9803370833396912,0.9451927542686462
mvtec_ad,grid,spalwinnn,bilinear,True,-1,7,True,0.9832915663719177,0.9100852608680725
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,7,True,0.9978570938110352,0.9506927728652954
mvtec_ad,leather,spalwinnn,bilinear,True,-1,7,True,0.9989809393882751,0.9692407250404358
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,7,True,0.9985337257385254,0.9428617358207703
mvtec_ad,pill,spalwinnn,bilinear,True,-1,7,True,0.9318057298660278,0.953453004360199
mvtec_ad,screw,spalwinnn,bilinear,True,-1,7,True,0.9852428436279297,0.9651972055435181
mvtec_ad,tile,spalwinnn,bilinear,True,-1,7,True,0.994949460029602,0.8204277753829956
mvtec_ad,toothbrush,spalwinnn,bilinear,True,-1,7,True,0.9416666030883789,0.9149801731109619
mvtec_ad,transistor,spalwinnn,bilinear,True,-1,7,True,0.9941667318344116,0.9500223398208618
mvtec_ad,wood,spalwinnn,bilinear,True,-1,7,True,0.9868420362472534,0.878081202507019
mvtec_ad,zipper,spalwinnn,bilinear,True,-1,7,True,0.9522058963775635,0.9418679475784302
visa,candle,spalwinnn,bilinear,True,-1,7,True,0.9417000412940979,0.9520546197891235
visa,capsules,spalwinnn,bilinear,True,-1,7,True,0.6949999928474426,0.7342936992645264
visa,cashew,spalwinnn,bilinear,True,-1,7,True,0.9763999581336975,0.8899759650230408
visa,chewinggum,spalwinnn,bilinear,True,-1,7,True,0.9953999519348145,0.7876123189926147
visa,fryum,spalwinnn,bilinear,True,-1,7,True,0.9244000315666199,0.8459334373474121
visa,macaroni1,spalwinnn,bilinear,True,-1,7,True,0.9177000522613525,0.9244478940963745
visa,macaroni2,spalwinnn,bilinear,True,-1,7,True,0.7656000256538391,0.8460745811462402
visa,pcb1,spalwinnn,bilinear,True,-1,7,True,0.9307000041007996,0.8857173323631287
visa,pcb2,spalwinnn,bilinear,True,-1,7,True,0.9567000269889832,0.8938495516777039
visa,pcb3,spalwinnn,bilinear,True,-1,7,True,0.961881160736084,0.8779980540275574
mvtec_ad,bottle,spalwinnn,bilinear,True,-1,9,True,1.0,0.9412592053413391
visa,pcb4,spalwinnn,bilinear,True,-1,7,True,0.9958416223526001,0.8690118789672852
mvtec_ad,cable,spalwinnn,bilinear,True,-1,9,True,0.9640179872512817,0.9244111180305481
mvtec_ad,capsule,spalwinnn,bilinear,True,-1,9,True,0.9908256530761719,0.9408149719238281
mvtec_ad,carpet,spalwinnn,bilinear,True,-1,9,True,0.9779293537139893,0.9445436000823975
mvtec_ad,grid,spalwinnn,bilinear,True,-1,9,True,0.9841270446777344,0.9137966632843018
mvtec_ad,hazelnut,spalwinnn,bilinear,True,-1,9,True,0.9982142448425293,0.9514425992965698
mvtec_ad,leather,spalwinnn,bilinear,True,-1,9,True,0.9989809393882751,0.9690463542938232
mvtec_ad,metal_nut,spalwinnn,bilinear,True,-1,9,True,0.9995113015174866,0.9439724683761597
mvtec_ad,pill,spalwinnn,bilinear,True,-1,9,True,0.9334423542022705,0.9535204768180847
mvtec_ad,screw,spalwinnn,bilinear,True,-1,9,True,0.985447883605957,0.9652202725410461
mvtec_ad,tile,spalwinnn,bilinear,True,-1,9,True,0.9917027354240417,0.8203219771385193
mvtec_ad,toothbrush,spalwinnn,bilinear,True,-1,9,True,0.9416666030883789,0.9150471091270447
mvtec_ad,transistor,spalwinnn,bilinear,True,-1,9,True,0.9941667318344116,0.9491384029388428
mvtec_ad,wood,spalwinnn,bilinear,True,-1,9,True,0.986842155456543,0.8778864741325378
mvtec_ad,zipper,spalwinnn,bilinear,True,-1,9,True,0.9577205181121826,0.941949725151062
visa,candle,spalwinnn,bilinear,True,-1,9,True,0.9530999660491943,0.9518040418624878
visa,capsules,spalwinnn,bilinear,True,-1,9,True,0.6518332958221436,0.7306854724884033
visa,cashew,spalwinnn,bilinear,True,-1,9,True,0.9757999777793884,0.8917677402496338
visa,chewinggum,spalwinnn,bilinear,True,-1,9,True,0.9914000630378723,0.7857803106307983
